asset,freq,h,period,measure,model,mcs_p,in_mcs
CL_WTI,1min,10,pre,TSRV,GARCH,,True
CL_WTI,1min,10,pre,TSRV,ARFIMA,,True
CL_WTI,1min,10,pre,TSRV,HAR,,True
CL_WTI,1min,10,pre,TSRV,ANN,,True
CL_WTI,1min,10,pre,TSRV,HAR-ANN,,True
CL_WTI,1min,10,pre,RV,GARCH,,True
CL_WTI,1min,10,pre,RV,ARFIMA,,True
CL_WTI,1min,10,pre,RV,HAR,,True
CL_WTI,1min,10,pre,RV,ANN,,True
CL_WTI,1min,10,pre,RV,HAR-ANN,,True
CL_WTI,1min,10,pre,JWTSRV,GARCH,,True
CL_WTI,1min,10,pre,JWTSRV,ARFIMA,,True
CL_WTI,1min,10,pre,JWTSRV,HAR,,True
CL_WTI,1min,10,pre,JWTSRV,ANN,,True
CL_WTI,1min,10,pre,JWTSRV,HAR-ANN,,True
CL_WTI,1min,10,pre,MedRV,GARCH,,True
CL_WTI,1min,10,pre,MedRV,ARFIMA,,True
CL_WTI,1min,10,pre,MedRV,HAR,,True
CL_WTI,1min,10,pre,MedRV,ANN,,True
CL_WTI,1min,10,pre,MedRV,HAR-ANN,,True
